🇭🇰公告:更新9-4-2025🇭🇰,#genre#
来源：https://github.com/eric1216chan/eric1216tvbox,#genre#


💎香港(寶盒TV1)🇭🇰,#genre#

Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
天映經典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro歡喜台,http://php.jdshipin.com/smt.php?id=Huahee
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
愛奇藝,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
八度空間,http://php.jdshipin.com/smt.php?id=TV8
TVB娛樂新聞台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
華麗翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
澳視衛星,http://php.jdshipin.com/TVOD/iptv.php?id=as
澳視澳門,http://php.jdshipin.com/TVOD/iptv.php?id=asam
重溫經典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
鳳凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
鳳凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
鳳凰資訊,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
鳳凰資訊,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
廣東體育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
廣東珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
美亞電影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
鳳凰衛視,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
