🇭🇰公告:更新9-9-2025🇭🇰,#genre#
来源：https://github.com/eric1216chan/eric1216tvbox,#genre#

💎秒播频道💎,#genre#
Now英超1,http://iptv.4666888.xyz/iptv.php?id=20392
Now sport1,http://iptv.4666888.xyz/iptv2.php?id=30
Now sport2,http://iptv.4666888.xyz/iptv2.php?id=31
Now sport3,http://iptv.4666888.xyz/iptv2.php?id=32
Now sports4,http://iptv.4666888.xyz/iptv2.php?id=33
Now sports5,http://iptv.4666888.xyz/iptv2.php?id=34
Now sports6,http://iptv.4666888.xyz/iptv2.php?id=35
Now sports7,http://iptv.4666888.xyz/iptv2.php?id=36

💎【Gobla】国际频道1🇭🇰,#genre#
ABC,http://panelguys.top:8080/txd7Fd/030774/22990
ADULT ANIMATION,http://mwyceyp.mhubery.xyz:80/live/2161039006/6680421603/77598.m3u8
AMC Thrillers,http://panelguys.top:8080/txd7Fd/030774/66243
AMC,http://panelguys.top:8080/txd7Fd/030774/18925
Animal Planet,http://panelguys.top:8080/txd7Fd/030774/57377
AWE,http://mwyceyp.mhubery.xyz:80/live/2161039006/6680421603/176716.m3u8
Bally Sports Southwest,http://panelguys.top:8080/txd7Fd/030774/21843
BBC NEWS,http://panelguys.top:8080/txd7Fd/030774/53757
Bet Gospel,http://panelguys.top:8080/txd7Fd/030774/66080
BET,http://panelguys.top:8080/txd7Fd/030774/13702
Bravo,http://panelguys.top:8080/txd7Fd/030774/20859
BUZZR,http://panelguys.top:8080/txd7Fd/030774/21896
Cartoon Network,http://panelguys.top:8080/txd7Fd/030774/57380
CBC Charlottetown,http://panelguys.top:8080/txd7Fd/030774/57382
CBC Edmonton,http://panelguys.top:8080/txd7Fd/030774/57384
CBC Halifax HD,http://panelguys.top:8080/txd7Fd/030774/57385
CBC Montreal,http://panelguys.top:8080/txd7Fd/030774/57387
CBC TORONTO,http://panelguys.top:8080/txd7Fd/030774/57306
CBS News,http://panelguys.top:8080/txd7Fd/030774/21259
Channel 5,http://panelguys.top:8080/txd7Fd/030774/53653
CHRGD,http://panelguys.top:8080/txd7Fd/030774/75653
CINE LIFE,http://mwyceyp.mhubery.xyz:80/live/2161039006/6680421603/42198.m3u8
Cinemax,http://panelguys.top:8080/txd7Fd/030774/13380
CINEVAULT WESTERNS,http://mwyceyp.mhubery.xyz:80/live/2161039006/6680421603/77367.m3u8
CMT,http://panelguys.top:8080/txd7Fd/030774/46706
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNBC,http://panelguys.top:8080/txd7Fd/030774/9815
CNN,http://panelguys.top:8080/txd7Fd/030774/104884
Comet,http://panelguys.top:8080/txd7Fd/030774/66244
